Filename:,25FC01544-CC1_B4_C1-CH1_500.00mA_NAV_50.0C_00_LIV.csv
Test Time:,2025-04-30T07:41:42.822134+00:00
Temperature Set:,50.0,°C
Temperature Measured:,50.03,°C
PID:,1.1837,0.0070,5.0000
Thermistor ABC:,0.001111930000000000023146692896,0.0002371740000000000113657898197,7.386599999999999665742402813E-8
OPM Wavelength:,1300.00,nm
OPM Range:,3.653111E-01,W
OPM:,Thorlabs,PM100USB,1933072,1.7.0=S145C,250120306,20-JAN-2025,1,18,289
SMU:,Keithley Instruments Inc., Model 2602B, 4369333, 3.4.2
TEC:,Arroyo 5240 241126048 v1.53 148

set_current[mA],current[A],voltage[V],power[W],power[mW],rd[Ohms],dy/dx(Ith)[a.u],SE[W/A],d2y/dx2(Ith)[a.u]
171.0,0.171103,1.26613,0.0558992699,55.8992699,1.828171828171823,0.2713706000000009,0.27808178879999945,0.000747285855999694
172.0,0.172122,1.26802,0.0562857687,56.285768700000006,1.8435475834579076,0.3248192500000009,0.27133839879999927,-0.0023224588640006604
173.0,0.17311,1.26983,0.0565489084,56.5489084,1.8422366450324326,0.2508088999999991,0.2610088616000012,-0.003675048870400382
174.0,0.174125,1.27171,0.0567873865,56.787386500000004,1.8204613841524724,0.26314704999999705,0.28419736600000123,-0.0003087449455997677
175.0,0.175104,1.27346,0.0570752025,57.075202499999996,1.8034447821681872,0.27548334999999824,0.2894924684000005,-0.0028249088959996288
176.0,0.176099,1.27527,0.0573383532,57.3383532,1.8109452736317884,0.2590380500000009,0.2849535892000005,-0.00676626463039983
177.0,0.177114,1.2771,0.0575932786,57.5932786,1.789631106680055,0.2508126500000003,0.2839010683999993,-0.002348170161599769
178.0,0.178105,1.27886,0.0578399785,57.8399785,1.7664821338702037,0.24669990000000297,0.26887041439999887,0.008020462635200072
179.0,0.179101,1.28061,0.0580866784,58.086678400000004,1.765586034912675,0.3042611999999991,0.2754497663999987,0.008573586924799825
180.0,0.18011,1.2824,0.0584485009,58.4485009,1.7949999999999895,0.3207065,0.27498862399999985,0.00014614414880003858
181.0,0.181101,1.2842,0.0587280914,58.728091400000004,1.7891054472763177,0.2754796500000012,0.25587758040000086,-0.005037979617600122
182.0,0.182111,1.28598,0.0589994602,58.9994602,1.7749999999999695,0.26314704999999705,0.24170072119999972,-0.005564634753600253
183.0,0.183101,1.28775,0.0592543855,59.2543855,1.7875125881168863,0.28370879999999943,0.2631130047999998,-0.0021407066431999725
184.0,0.184097,1.28953,0.0595668778,59.5668778,1.7492566897918964,0.2919286499999991,0.28580738439999936,-0.0012660447967997727
