wavelength[nm],power[dBm]
1570.650,-63.928
1570.660,-63.847
1570.670,-63.900
1570.680,-64.039
1570.690,-64.190
1570.700,-64.555
1570.710,-64.440
1570.720,-64.789
1570.730,-64.894
1570.740,-65.091
1570.750,-65.178
1570.760,-65.343
1570.770,-65.616
1570.780,-65.728
1570.790,-65.680
1570.800,-65.880
1570.810,-65.867
1570.820,-65.689
1570.830,-65.711
1570.840,-65.682
1570.850,-65.880
1570.860,-65.925
1570.870,-65.672
1570.880,-65.371
1570.890,-65.463
1570.900,-65.151
1570.910,-65.115
1570.920,-64.868
1570.930,-64.651
1570.940,-64.514
1570.950,-64.349
1570.960,-64.166
1570.970,-63.977
1570.980,-63.877
1570.990,-63.671
1571.000,-63.676
1571.010,-63.599
1571.020,-63.616
1571.030,-63.754
1571.040,-63.876
1571.050,-63.844
1571.060,-64.083
1571.070,-64.217
1571.080,-64.454
1571.090,-64.660
1571.100,-64.870
1571.110,-65.015
1571.120,-65.262
1571.130,-65.353
1571.140,-65.583
1571.150,-65.683
1571.160,-65.899
1571.170,-65.931
1571.180,-65.964
1571.190,-65.989
1571.200,-66.157
1571.210,-66.045
1571.220,-66.012
1571.230,-65.738
1571.240,-65.767
1571.250,-65.808
1571.260,-65.674
1571.270,-65.459
1571.280,-65.078
1571.290,-65.075
1571.300,-64.927
1571.310,-64.591
1571.320,-64.300
1571.330,-64.197
1571.340,-64.063
1571.350,-63.921
1571.360,-63.769
1571.370,-63.606
1571.380,-63.658
1571.390,-63.672
1571.400,-63.665
1571.410,-63.707
1571.420,-63.899
1571.430,-63.889
1571.440,-64.119
1571.450,-64.300
1571.460,-64.666
1571.470,-64.861
1571.480,-65.074
1571.490,-65.133
1571.500,-65.349
1571.510,-65.335
1571.520,-65.513
1571.530,-65.901
1571.540,-65.732
1571.550,-65.680
1571.560,-65.729
1571.570,-65.850
1571.580,-65.810
1571.590,-65.840
1571.600,-65.909
1571.610,-65.667
1571.620,-65.745
1571.630,-65.482
1571.640,-65.386
1571.650,-65.313
1571.660,-64.809
1571.670,-64.683
1571.680,-64.581
1571.690,-64.443
1571.700,-64.200
1571.710,-63.995
1571.720,-64.091
1571.730,-63.870
1571.740,-63.654
1571.750,-63.768
1571.760,-63.761
1571.770,-63.857
1571.780,-63.870
1571.790,-64.107
1571.800,-64.130
1571.810,-64.342
1571.820,-64.670
1571.830,-64.649
1571.840,-65.005
1571.850,-65.022
1571.860,-65.400
1571.870,-65.330
1571.880,-65.406
1571.890,-65.617
1571.900,-65.824
1571.910,-65.990
1571.920,-65.650
1571.930,-65.959
1571.940,-65.954
1571.950,-65.775
1571.960,-65.672
1571.970,-65.724
1571.980,-65.418
1571.990,-65.516
1572.000,-65.293
1572.010,-65.288
1572.020,-64.897
1572.030,-64.955
1572.040,-64.724
1572.050,-64.402
1572.060,-64.252
1572.070,-64.141
1572.080,-63.996
1572.090,-63.888
1572.100,-63.815
1572.110,-63.874
1572.120,-63.901
1572.130,-63.905
1572.140,-63.922
1572.150,-64.109
1572.160,-64.244
1572.170,-64.382
1572.180,-64.599
1572.190,-64.783
1572.200,-65.030
1572.210,-65.379
1572.220,-65.258
1572.230,-65.522
1572.240,-65.681
1572.250,-65.643
1572.260,-65.713
1572.270,-65.864
1572.280,-66.006
1572.290,-65.893
1572.300,-65.857
1572.310,-66.018
1572.320,-65.880
1572.330,-65.752
1572.340,-65.650
1572.350,-65.551
1572.360,-65.425
1572.370,-65.117
1572.380,-64.983
1572.390,-64.952
1572.400,-64.524
1572.410,-64.387
1572.420,-64.194
1572.430,-63.933
1572.440,-63.935
1572.450,-63.904
1572.460,-63.736
1572.470,-63.735
1572.480,-63.805
1572.490,-63.872
1572.500,-63.971
1572.510,-64.119
1572.520,-64.135
1572.530,-64.417
1572.540,-64.630
1572.550,-64.845
1572.560,-65.146
1572.570,-65.337
1572.580,-65.434
1572.590,-65.522
1572.600,-65.791
1572.610,-66.168
1572.620,-65.831
1572.630,-66.328
1572.640,-66.212
1572.650,-66.151
1572.660,-66.313
1572.670,-66.028
1572.680,-66.174
1572.690,-65.901
1572.700,-65.773
1572.710,-65.722
1572.720,-65.627
1572.730,-65.419
1572.740,-65.240
1572.750,-65.002
1572.760,-64.752
1572.770,-64.683
1572.780,-64.447
1572.790,-64.090
1572.800,-63.982
1572.810,-63.871
1572.820,-63.651
1572.830,-63.578
1572.840,-63.573
1572.850,-63.711
1572.860,-63.898
1572.870,-63.746
1572.880,-64.045
1572.890,-64.292
1572.900,-64.454
1572.910,-64.650
1572.920,-65.013
1572.930,-65.209
1572.940,-65.540
1572.950,-65.662
1572.960,-65.769
1572.970,-65.958
1572.980,-66.109
1572.990,-66.477
1573.000,-66.332
1573.010,-66.475
1573.020,-66.357
1573.030,-66.394
1573.040,-66.510
1573.050,-66.180
1573.060,-66.414
1573.070,-66.171
1573.080,-65.910
1573.090,-65.733
1573.100,-65.595
1573.110,-65.423
1573.120,-65.181
1573.130,-65.045
1573.140,-64.745
1573.150,-64.425
1573.160,-64.332
1573.170,-64.108
1573.180,-63.975
1573.190,-63.809
1573.200,-63.778
1573.210,-63.701
1573.220,-63.807
1573.230,-63.855
1573.240,-63.966
1573.250,-64.148
1573.260,-64.443
1573.270,-64.613
1573.280,-64.839
1573.290,-65.172
1573.300,-65.250
1573.310,-65.515
1573.320,-65.768
1573.330,-65.936
1573.340,-65.951
1573.350,-66.046
1573.360,-66.194
1573.370,-66.231
1573.380,-66.521
1573.390,-66.550
1573.400,-66.495
1573.410,-66.533
1573.420,-66.412
1573.430,-66.369
1573.440,-66.270
1573.450,-66.236
1573.460,-65.954
1573.470,-65.738
1573.480,-65.556
1573.490,-65.465
1573.500,-65.435
1573.510,-64.907
1573.520,-64.828
1573.530,-64.653
1573.540,-64.453
1573.550,-64.270
1573.560,-64.037
1573.570,-64.032
1573.580,-64.165
1573.590,-64.044
1573.600,-64.047
1573.610,-64.161
1573.620,-64.348
1573.630,-64.550
1573.640,-64.522
1573.650,-64.755
1573.660,-64.959
1573.670,-65.220
1573.680,-65.383
1573.690,-65.513
1573.700,-65.777
1573.710,-65.990
1573.720,-66.040
1573.730,-66.194
1573.740,-66.137
1573.750,-66.014
1573.760,-66.206
1573.770,-66.210
1573.780,-66.114
1573.790,-66.054
1573.800,-66.108
1573.810,-66.123
1573.820,-66.169
1573.830,-65.862
1573.840,-65.711
1573.850,-65.649
1573.860,-65.491
1573.870,-65.521
1573.880,-65.205
1573.890,-65.030
1573.900,-65.006
1573.910,-64.867
1573.920,-64.617
1573.930,-64.521
1573.940,-64.514
1573.950,-64.590
1573.960,-64.456
1573.970,-64.627
1573.980,-64.524
1573.990,-64.650
1574.000,-64.820
1574.010,-64.976
1574.020,-64.946
1574.030,-65.241
1574.040,-65.397
1574.050,-65.519
1574.060,-65.643
1574.070,-65.757
1574.080,-65.710
1574.090,-65.754
1574.100,-65.874
